BOARD Text Code,BOARD Text,BOARD,TYPE Text Code,TYPE Text,TYPE
Sheet Metal - SM,Sheet Metal ,SM,Master - M1,Master ,M1
Sheet Metal - SM,Sheet Metal ,SM,School - S1,School ,S1
Sheet Metal - SM,Sheet Metal ,SM,School - S2,School ,S2
Social Workers - SW,Social Workers ,SW,LCSW - LCSW,LCSW ,LCSW
Social Workers - SW,Social Workers ,SW,LICSW - LICSW,LICSW ,LICSW
Social Workers - SW,Social Workers ,SW,LSW - LSW,LSW ,LSW
Social Workers - SW,Social Workers ,SW,LSWA - LSWA,LSWA ,LSWA
Speech and Audiology - SP,Speech and Audiology ,SP,Audiologist - AU,Audiologist ,AU
Speech and Audiology - SP,Speech and Audiology ,SP,Audiology Assistant - AA,Audiology Assistant ,AA
Speech and Audiology - SP,Speech and Audiology ,SP,Speech Language Pathologist - SL,Speech Language Pathologist ,SL
Speech and Audiology - SP,Speech and Audiology ,SP,Speech Language Pathology Asst - SA,Speech Language Pathology Asst ,SA
Veterinarian - VT,Veterinarian ,VT,Tufts Individual - TP,Tufts Individual ,TP
Veterinarian - VT,Veterinarian ,VT,Veterinarian License - LP,Veterinarian License ,LP
Veterinarian - VT,Veterinarian ,VT,Veterinarian License - VT,Veterinarian License ,VT
Veterinarian - VT,Veterinarian ,VT,Veterinary Tufts Institutional - TI,Veterinary Tufts Institutional ,TI
